params,molecule,choice,fail,time
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 100 200 true,ClCCTC(R)CCOCTC(C)CC1(C=C1)TC2(O(OTC))OS2, 37, 2, 46525
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 -200 -100 true,C(TC(SCOCTCX)(C#CC(OC(CSSCl)(=C))CC))CSOC, 320, 143, 41088
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 -400 -300 true,XC(SC=CON(C(N1TCTC1)OOC(#C))F)=CCCC=C=O_, 480, 223, 59663
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 100 200 true,C=COTN(OOC1)C1(N(T)N=C)CSTC2C(CCI)[C@]2_, 34, 0, 28548
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 -400 -300 true,ClCOSN1CCC(N(CTC)CC#C)TN([C@](=C)COX)CT1_, 156, 61, 41520
40 domWdegRandom true false 2 1 1800 1750 2250 100 200 true,T=[N+]CC#[C@]OSN=[C@H]C(C=T)=NN=N[C@@]#N, 267, 108, 81705
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 true,S=CN(F)SOOSOT\[C@]=N/[TH+]______________, 36, 8, 39786
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 100 200 true,C(SBr)(SN(C(=C=T)(OC1STTSC1))C2=CCC2)CCCR, 38, 3, 25102
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 true,c1ccsc1N=[N+]N2CT[TH+](S(C[C@@]I))N=NCN2, 289, 119, 67018
40 maxMarginalLDS true false 2 1 1800 2750 3250 -200 -100 true,C(C(C(C#CSC=C(COCCCOC=C(C)))T))TCC1TTTC1, 45, 2, 29110
