params,molecule,choice,fail,time
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 100 200 true,ClTN(TN=C(TCl)OTC1CC=CC1([C@]C2(OOC)CC2))X, 51, 8, 219043
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 true,O1[N+]OT[N+]=N[N+]2([N+]=C(C(I)I)T2)S1__, 44, 9, 156579
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 100 200 true,C(N(T)STT(C(SN1CCC1(S(CC)))))CCOC/C=C\O_, 34, 0, 154307
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 -400 -300 true,ClC(N(C(C(X)C)(T)C=NCC#C)T(C))OO[C@]OCCOT, 427, 199, 207830
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 100 200 true,FCSCCN1N(TSC(=C=CCl))CC(N(TC=C(Cl))OOF)S1_, 37, 0, 115161
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 -400 -300 true,C(TCTC)(C(OTSCN(C(=NBr)T)C))[C@](=CC=O)SBr, 113, 41, 198130
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,ClT\[N+]=[C@@](c1[nH]c2c(N(Cl)N2)c1OCCI)\S, 29, 3, 124277
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 -400 -300 true,C(TCN(ON1COOC(C(CTBr))(C(TR))C1)(F))CCSBr_, 5779, 2876, 799772
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,Rc1cc[nH]c1O[C@]N=[C@H]c2c3(CT3)ccc2SSSR, 583, 255, 803849
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,RTT/C(T[C@@H]/C=C/[C@](OOCN(C)I))=[N+]\T, 205, 88, 307376
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,O(Br)[C@](Cl)/C(I)=C(N1[TH+]N(R)N=C1(Cl))/S, 29, 0, 143273
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,c1c[nH]nc1C[N+]CT[N+]/[N+]=C(c2cscc2Br)\T, 26, 2, 136317
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 1750 2250 100 200 true,O(C(C(=CTX)C1(R)COON1(TS([C@H]2CC2)))R)C, 156, 61, 224081
40 maxMarginalStrength true false 2 1 1800 2750 3250 -200 -100 true,C1TC(C(C(#C(C(COC)COCOCOT)))SC2TCTC2)TC1, 39, 0, 287182
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,CTc1[nH]nnc1c2snnc2CC(C)[C@]/[N+]=[N+]/S, 249, 104, 528891
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 1750 2250 -400 -300 true,FCC1(N2TC2(R))SOC(C3[TH+]=[N+]3)(TSTC)C1, 827, 397, 313769
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,Br\[TH+]=[C@]([TH+]SOON=[N+]O\C(C)=C\S)/S, 36, 5, 217229
40 maxMarginalStrength true false 2 1 1800 3750 4250 -400 -300 true,C1CC(C(TCTCCOCCOCCTCTCOCOCTCC2CCOC2))CC1, 41, 2, 160731
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,ROS/N=[N+](N(SBr)N(SCl)[C@H]/C=C/C(=NF))\C, 269, 110, 368309
40 domWdegRandom true false 2 1 1800 3750 4250 -400 -300 true,ClSc1sc2c(TN(I)N=[C@@]2(R))c1OTTC=[TH+]CF, 130, 51, 155216
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 -200 -100 true,COSCCC(COR)(CT)C(=C=C(=[C@](=C)))OTOSCTCl, 4107, 2038, 1054498
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 -200 -100 true,XC1[C@](C#CSC(C)(C=CBr)[C@](=C)OX)OSTTTO1, 87, 26, 219466
40 maxMarginalStrengthLDS true false 2 1 1800 1750 2250 -400 -300 true,T(C(C1TCC1)C2CTOC2(C(C=C(C#CN3TTN3))))F_, 43, 2, 173407
